#1_id	#2_content	#3_label
TRAIN_6544	#Warm_Bodies مرة متحمسة اشوف دا الفلم ، ابغى اشوفو بسينما : ' (	ksa
TRAIN_20258	هلا تحكيم هه	algeria
TRAIN_17271	عطيونا أرضنا نحكموها لكرنا هه URL	morocco
TRAIN_4162	الاعلان اللي مستحيل تتخطاه URL	algeria
TRAIN_19733	احس وايد زين جي	oman
TRAIN_1074	ربنا يحفظهم و يفرحك فيهم	jordan
TRAIN_11302	كنه الشلهوب وعاده يضحك مزد قام من الضحك علي	syria
TRAIN_15737	احس انا الوحيدة الى اليوم ما شفت القمر ولا صورته	qatar
TRAIN_4989	خرب اكفر بس ولله خوش انسان بربك سلملي عليه هو ومرته	iraq
TRAIN_13608	ماكو كلام يوصف الي دمر بي والي بيه .	iraq
TRAIN_11870	هالايام ضاربها چلاق	iraq
TRAIN_6707	لاعب يسجل 25 هدف على الاقل في الموسم الواحد احنا من زمان لا نملك لاعب بأمكانيات اوبا ايمري لازم يبني الفريق حول اوباميانغ ولاكازيت اوباميانغ شخصية مهمة داخل غرفة الملابس وعلاقتة الطيبة مع اللاعبين من اهم لاعبين الموسم المقبل	iraq
TRAIN_19735	ويجون الرجال يسمون الصفين الأولى كلها أزرق . . URL	ksa
TRAIN_1072	' الشوق دلة والمواصيل فنجال يا راعي الفنجال بالله صبه URL	jordan
TRAIN_8458	USER وش قومها حمرا	ksa
TRAIN_15434	هو مفيش حااجه بتعجبكك ابداا !	egypt
TRAIN_16861	د كل يوم بتتغير URL …	egypt
TRAIN_9837	USER امين خليداني وياك	iraq
TRAIN_10064	ﻟﻤﺎ ﺗﺒﺪﺃ ﺗﻔﻜﺮ ﻓﻰ ﻣﻴﻦ ﺍﻟﻠﻰ ﻫﻴﺴﺄﻝ ﺍﻻﻭﻝ ﻭ ﻣﻴﻦ ﺍﻟﻠﻰ ﻫﻴﺘﻜﻠﻢ . . ﺍﻋﺮﻑ ﺍﻥ ﻋﻼﻗﺘﻚ ﺑﺎﻟﻠﻰ ﻗﺪﺍﻣﻚ ﺑﺘﻨﺘﻬﻰ ﻭﺍﺣﺪﻩ ﻭﺍﺣﺪﻩ !	egypt
TRAIN_8821	انا من بعد ما اكتشفتا وكل ما ادخل ع سوبر ماركت لازم جيب مناا	syria
TRAIN_546	اها طب تمام	egypt
TRAIN_5466	صح نومي احلى شي تقعد من النوم ع صوت المطر	kuwait
TRAIN_742	لازم يسوو وزارة للنضافة وينزلو قرار استخدام مزيل العرق اجباري	ksa
TRAIN_6451	هي مام بلا فووط مراحش تسلك	algeria
TRAIN_15034	إنتوا نحنا كنا ميتين ولا حاجه ؟	yemen
TRAIN_18480	يلي يقول : محبتها حياةوبعدها عن ناظري حرمان مش موجود بعيد انتي فيكي تصنعيه كماتحبين	iraq
TRAIN_7188	لا مليش انا فى الشغلة بتاعت السناب دى . . كلها عيال تعبانة سواء ولاد ولا بنات	syria
TRAIN_5611	بعد مدة طويلة وصلنا لل 100 subscribers في القناة youtuber حاجة تفرح ياسر	tunisia
TRAIN_8524	يبقي النية صافية الحمدلله	egypt
TRAIN_11496	ابننا وهو بيبص علي الزمالك وهو قادم ومش لقيه #وزير_السعاده_المصري URL	egypt
TRAIN_4788	ماخبرتگ كذا ي كنق	ksa
TRAIN_20628	هابي بيرثداي ي حلوة . USER . twitter.com / RB1xzLJUey	egypt
TRAIN_13399	صباحك جميل وهنا وسعادة عليكى وعلى كل حبايبك يآرب	egypt
TRAIN_18828	احييه يديا وجعني	libya
TRAIN_9336	والله ماتقدري خاصة مع صحباتك URL …	algeria
TRAIN_4766	اجوز عدهم لقاحات أطفال	iraq
TRAIN_5636	تخسي حياة الفهد عنده كان نزل له دمعتين هذا الناقص بس	bahrain
TRAIN_5503	حياكلونا الفمنستات ياللطيف اللطف	libya
TRAIN_7723	مؤثر ولا مش مؤثر URL … URL	ksa
TRAIN_14507	أحلى أمير بالدنيه #صابر_الرباعي_في_الزمن_الجميل URL	iraq
TRAIN_2897	ابغي باقي الترجمة URL …	egypt
TRAIN_2765	هه شو هو يخرب بوشتك	lebanon
TRAIN_15279	اشتري لك ولا اذ شفتيها بالشارع نظفيها وخليها معك	ksa
TRAIN_8777	ماشاءالله عينك وما تشوف	iraq
TRAIN_2334	خلاص كم سوال وبنسحب	uae
TRAIN_10134	مانيش موافقك الرأي صديقي فما huge difference ، حد مالزها و لا شدلها عصا و قاللها صورو	tunisia
TRAIN_15020	الحرام ما يدخل	algeria
TRAIN_8692	تويتري و اتكلم براحتي	egypt
TRAIN_9562	اذا حبيت #ترى_مب_لازم تبين انك قيس	morocco
TRAIN_12917	Super Mega Ultra Hyper commercial ! و كان عجبك ! URL	tunisia
TRAIN_3753	هني انتحر خلااص	kuwait
TRAIN_17099	ضيفونا العنوان على الغراش URL	uae
TRAIN_12598	فترة ضياع معش عرفت روحي صح والا غلط ومعش عرفت صاحبي من عدوي.قاعد اندق هك وخلاص	libya
TRAIN_395	صباح الحزن اللى هيتلون صباحكم جميل بيكم وليكم URL …	egypt
TRAIN_5324	الحب زي الحرب عايز رجاله . .	egypt
TRAIN_2999	وبعدين مع الناس الي تبا تمشي الناس على مزاجها	ksa
TRAIN_19867	هه السناريا . . ماذا تعني ؟	algeria
TRAIN_1092	جنه نحجي ع العبادي نكول فاهي الله رزقنه بعادل عبد المهدي لاهده ولاسده هذاك نضرب بيد من حديد هذا حته لسان ماعنده خويه كابتن عادل مروتك هذول ولد الدوله افزع الهم	iraq
TRAIN_16975	سنين مشاني وراه يأمر وماقوله لا جان ساجني بهواه وانهزمت من السجن	morocco
TRAIN_15538	كفين يوزوزو من الجيهتين . . غريان	libya
TRAIN_13273	خوك خوك لا يغرك صاحبك URL …	algeria
TRAIN_16120	تحية عالية لإلتراس طنجة URL …	morocco
TRAIN_8807	انت عظيم و إنسان كمان	egypt
TRAIN_17963	USER تلحفي ونومي بس	ksa
TRAIN_719	' \ ' وجهك على طول في بالي ياجعل هالوجه للجنه اللهم ارحم من اشتاقت لهم انفسنا اللهم ارزقهم الفردوس '	oman
TRAIN_11090	البنت تغني وماسكة مايك واحلام جاية ترقص ويحرك أيدها	iraq
TRAIN_18345	و الله لو كدة مصلحة URL …	egypt
TRAIN_4013	قلت لك اسحب عليه	ksa
TRAIN_17121	#امنيتي_بهذي_الليله منحرمش من اهلى	egypt
TRAIN_15283	شوفو مين تزوج وصار عنده ولدين ‹ ̶`̨ URL … ^ וﻟﻟهه ي וﻟدنياا ‹ ̐ ›	oman
TRAIN_4179	اقسم بالله شويه معرصين ولا يعرفو اى حاجه عن العريش بس هيجلكو يوم يا ولاد الوسخه URL …	iraq
TRAIN_11775	يا اعوينكم ربي راضي عليكم . .	libya
TRAIN_20369	مستوى خايس ، غير يامدرب وش تنتظر !	iraq
TRAIN_17971	والواحد وصل لمرحله ميؤس منها ، ف التعامل مع الناس .	lebanon
TRAIN_11428	فكر انا في خووف	oman
TRAIN_19450	- صباح الخير يابائس ياوحيد ياللي ملقتش حد يحنو عليك	egypt
TRAIN_7014	ها كيف دا يرين	algeria
TRAIN_18683	واذا ما لقيتك احكيلو من طرف اسامة ؟	palestine
TRAIN_3539	ليس وعيا وانما هدرة تاع قهاوي	algeria
TRAIN_18636	وصادفتك واثاريني انا من وقتها ملهم !	ksa
TRAIN_15501	العز ليك خويا انس	morocco
TRAIN_17900	خوش ديمقراطي ، اصبحت التركيا زنزانة كبيرة ، بيد اردوغان ، سجون تركيا مليئة بالأشخاص ديمقراطيون و معارضين لسلطته و أكراد و جماعة غولن ، مشكلتكم هي ، انتم تحلمون بالخلافة الاسلامية ، تحت رحمة اردوغان .	iraq
TRAIN_18723	سكرو عليهم الدرامات وتو يحوطو فالبيوت هه	iraq
TRAIN_11710	احنا جدود زى بعض . . عيب كدا	egypt
TRAIN_7948	قل للعيون اللي تتمناك تبطي مامن احد يقربك وانت لي . .	ksa
TRAIN_15865	طب نامي تاني يمكن تصحي خافة طيب زي ما نمتي صحيتي عيانة	egypt
TRAIN_455	تتصنعش عشان حد . خليك على طبيعتك عشان تضلك حلو والك شخصيتك .	palestine
TRAIN_10608	USER احلى يوم بالصيف كان يوم التعاقد الرسمي مع الرائع لوكا مودريتش ^^ الصيف كله واحنا ننتظر وجاء لوكا قبل الكلاسيكو وكان وجه خير	iraq
TRAIN_7838	واو واو لبوات العراق والله كفو URL …	iraq
TRAIN_9769	انت سد شهوتك اول بعدين تعال ارمس عن اعمامك	uae
TRAIN_2735	ربنا يستر انا حاسس اننا هنضرب كل مبرشلونه تعمل هجمه	egypt
TRAIN_6662	يارب الله يسمع منك	syria
TRAIN_5941	معك حق بس لا صار بحث ولاتحقيق بالموضوع	lebanon
TRAIN_19793	لازم نجيبه يالربع لازم نجيبه بعيده كانت سكة ولا قريبه . . #همتك_يابطل URL	uae
TRAIN_3245	قل للمؤمئينين يغضون ابصارهم ياعبد الله ، كويس هكي بنات يشفط عليك ويقوللك قزع	tunisia
TRAIN_20691	USER تصبح على خير	algeria
TRAIN_1492	اه فرق ساعتين بين بعض نحنا 20 : 57 هلا يلا هانت ساعة و بتفطرو نحنا اذن عال 19 : 30 صيام مقبول يا رب	lebanon
TRAIN_20077	USER اوك برشا اوكي	kuwait
TRAIN_8255	ميرسي جدا ؏ الكلام الجميل دوت	egypt
TRAIN_1200	اه طبعا امال ايه . والدليل اني حفظت سوره لقمان USER	lebanon
TRAIN_14481	وانا في الاتوبيس بتاع الشادر	egypt
TRAIN_18370	بطل تحتاج ليهم و هما هيحتاجوك .	egypt
TRAIN_1676	غير يديروا دوله هما	libya
TRAIN_1475	آميين الله يهدينا كاملين	morocco
TRAIN_10625	هو انا مينفعش اكلمك ع التليفون وقتها	syria
TRAIN_14887	انت ام سي تراش خد بار امشي ب عكاز	tunisia
TRAIN_15944	مراتك موش طيئاني ليه	libya
TRAIN_6096	مااعرف منين ابدي اعد بس احب اوضح شي الكراهيه حمقاء والحب حكيم	iraq
TRAIN_8561	الله يندله غبنا كلنا	syria
TRAIN_7945	عبيت من شيل بوسليم قبل الفطور مش توا	libya
TRAIN_995	خلاص احبكك خلنا ربع	kuwait
TRAIN_8714	الحواجز بتتضاعف كتير بهيك جو	syria
TRAIN_4234	اني مايقهرني اله اليكول ماراح تلكة مثلي - يعني اني تركتك دا ادور مثلك ليش ؟	iraq
TRAIN_387	هه ونعم بالله	oman
TRAIN_3793	مش شرط 250 كان كمل الوقت وانتي اعلي وحده تفوزي	libya
TRAIN_9542	زغرطي يا أنشراح URL	iraq
TRAIN_14560	اومال كنتي بضيعي ايامك ف اي	egypt
TRAIN_14142	فيروزات الصباح كفيلة تعدل اي مزاج عالصبح .	egypt
TRAIN_15024	إن شاءالله تقطع له ديك اليد اللي تمدت على هاد الصبي جعلو الرعاش فيها إن شاءالله	morocco
TRAIN_10703	خليك فاكر يا لعب الكوره ملكش جمايل علينا في الاجازه الوسخه دي	egypt
TRAIN_6133	كنت عارفه ان انتي اللي عملاها	egypt
TRAIN_15164	الطقمم ذا لازم نعتمدهه لنهاية الموسم	ksa
TRAIN_3102	آسف اني جيت عند المرة ال ١٠٠ وبطلت أسامحك وعملت حوار ، أنا إل قلبي أسود معلش .	egypt
TRAIN_15915	يطلب الله ههااي	bahrain
TRAIN_18715	منوره بطلتك وروحك الحلوه	lebanon
TRAIN_20280	زمانك لو صفالك لك يوم فلا تحسب صفالك دوم وعينك لا هنتت بالنوم ترى الايام غداره ولالي امس مثل اليوم اكرر ونتي اقوم واقول العاشق المحروم نعم ما تنطفي ناره انا لولا الحياء واللوم لاوضح ماجرى معلوم	morocco
TRAIN_8013	مايغرك حد ولاتغرك نفسك مع الوقت ترد غريب كيف ماكنت .	libya
TRAIN_16771	تخيل شخص مايحبك كيف يتعامل معك فمابالك حكومه ماتحبك ! ! ؟ ؟ #دولة_الرفاه_انتهت	kuwait
TRAIN_19784	لاعيبة لا عندها شخصية ولا طموح ولا ب 2 جنيه نخوة و غيرة	egypt
TRAIN_8129	مسوي تغار انت وياه	ksa
TRAIN_7103	ع سلامتك ابو محمد	iraq
TRAIN_7676	هعمل سوفت للفون	lebanon
TRAIN_12063	انا قلت من الصبح انو اذا بيتلقطوا الشباب الطرابلسيين رح يتدعوس وما بيرجع عايش	lebanon
TRAIN_11188	ارحبب ترااحيب المطر	jordan
TRAIN_18382	حلاويلا يا حلاويلا يا خسارة لا حول الله URL …	tunisia
TRAIN_14383	انا ناجحه اوي في الحته دي URL …	egypt
TRAIN_4355	نشالله الف مبرروك لمنتخبنا ولسوريا جيش و شعب وقيادة بفوز منتخبنا السوري ببطولة غرب آسيا للرجال	syria
TRAIN_6197	الأمر الواقع الظالم بدنا نكسرو ونحقق تغيير حقيقي ونفرض بالحق أمر واقع جديد بصون الحريات وبيضمن حقوق الإنسان وكرامتو . . #نحو_إنتصار_الحق	lebanon
TRAIN_1836	حبيبة الاء والله امنية وحدة بس والله URL …	egypt
TRAIN_18214	فعلا عشان كدا هروح انهارده URL …	egypt
TRAIN_1856	USER اخترت اغنيه لورده بعنوان يانا ياحيرانه الاغنيه من مسلسل اوراق الورد URL	oman
TRAIN_10279	تستاهل رجل متفاني وطموح	ksa
TRAIN_8260	واذا كنت مفلسة بتعطيني	lebanon
TRAIN_8818	اقروا الكتاب عشان بجد الكتاب دا غير والله . We are proud that islam has a Muslim like ahmed alshukairy	egypt
TRAIN_3977	انا نفسي يعملوا فترة مسائية في الكلية يعني من بعد 12 كده وانا هلتزم وربنا	egypt
TRAIN_11724	نفسي أعرف شعور الريال الي حط قوانين التكامل وش كان يحس فيه ؟	oman
TRAIN_1030	الما راه طالعلي . . جيبوهالي نريڨلها	algeria
TRAIN_2922	ملتي فيتامين واهم شي البايوتين والزنك الي هوه تريس اليمنت + مينوكسديل	iraq
TRAIN_26	المصور ما عقلهاش	tunisia
TRAIN_14634	ايمان تخصص اكل مش تخصص كيمياء كانت كانت تجوعني حتى لو كنت مش جاي عباليبنص المحاضرات تقول جعانة فعلا رجعوني للجامعة انا كمان	palestine
TRAIN_19161	ادور حب جديد لا لا امزح احاول لين الله يفرجها URL …	jordan
TRAIN_934	لا تقولي حظظي بلييز يعني ☻ ، والله يسهل علييج باكر .	oman
TRAIN_17156	قاعدة نحاول تما موضوع اوفر	libya
TRAIN_20838	يستاهل دجوكوفيتش يربح ولكن الصراحة بغيتها لفديرير على ود المسيرة الرياضية لي دار اسطوورة وغيبقى اسطورة	morocco
TRAIN_5975	لساتك عم تسمعي الغنية الأجنبية يلي ما بتحبا ستي ;	syria
TRAIN_20914	إنت أجمل حاجة حصلت #صابر_الرباعي	iraq
TRAIN_11331	الجماعة م قصرو يلا زول يهديني السماعة بعد دا URL …	yemen
TRAIN_10498	#عروس_بيروت اول مرة شوف المسلسل عجبني	algeria
TRAIN_7397	يبني والله مسمعت الا تاني مره و رديت عليك قولتلك مش نفس الامتحان	morocco
TRAIN_11395	هه علاه والله مايستاهل	algeria
TRAIN_15190	USER صباح الخير عالجميع ، اجاازة بس لازم أصحى بدري	ksa
TRAIN_18667	كل ما دورت عذر لغيبتك أتأكد أكثر إن مالك عذر . . |	oman
TRAIN_14071	قولى كدا بقا URL …	egypt
TRAIN_7683	لك ضيعو هول حرام من كتر ما سمعوها صاروا يقولوها بدون انتباه	lebanon
TRAIN_5039	اوو في بلادي ضلموني اوو في بلادي ضلموني اوو واتارا و الهوني . .	tunisia
TRAIN_19951	كونك بتحب شخص ، طبيعي جدا تزعلك منه حاجات بسيطة . . ! !	egypt
TRAIN_4510	ما تيجي بحرنا URL …	egypt
TRAIN_6315	#ممكن_نتعرف_أكثر عقيل الرئيسي جيب العيد جعل ماحد يجيبه غيرك USER	algeria
TRAIN_20396	قلنالكم ما تخافوش ندولو القفة و نزوروه و نتهلاو فيه	algeria
TRAIN_10289	هو انا ماحدش بيتمسك بيا ليه هو انا بشوك	syria
TRAIN_18013	اللي ما يملي عينه وجودي ما يفرق معاه بعدي .	ksa
TRAIN_17888	غغآليي عليا ي عزوو	libya
TRAIN_6763	منتخبان يلعبون كرة قدم قوية حرام يغيب واحد منهم عن المونديال #السويد_ايطاليا #التصفيات_المؤهلة_لكاس_العالم	iraq
TRAIN_7875	ولدنا سيبالوس دخل	libya
TRAIN_3030	يووخ احسني مقصود	oman
TRAIN_3995	الموضوع أشبه بسرقة سيارة مدير إدارة مكافحة سرقة السيارات . . مسخرة السنين بجد .	egypt
TRAIN_6842	شوفو من يحلل و يتكلم عن الحظ من متى تفهم بالكوره دامك تشجع روما و الاهلي	ksa
TRAIN_9018	مصفينا ولو هيي لعبة عادي اذا خسر الريال للمرة 242245	syria
TRAIN_15337	دكتور بالجامعه وضع سؤال للأمتحان وهو : - ما هو اسم حبيبك ؟ | البنات بعد خمس ثواني دكتور خلصنا | . . URL	tunisia
TRAIN_11663	#الجزائر_تنتخب هذا الحركي عملي حظر URL	algeria
TRAIN_12275	ده مسلسل ايه	egypt
TRAIN_18076	هنتكلم عند البت يعني ؟ اه عملتها	egypt
TRAIN_5823	يا ساتر يا عرعر URL	ksa
TRAIN_1639	عجميه ۆ غلآ مطير ذآبحني	kuwait
TRAIN_12259	على اساس انت كنت في حياتي	libya
TRAIN_334	سي رزقي عاند وما تحسدش هه	algeria
TRAIN_17321	انا خال ال9عيل و3بنات وعم ال15عيل ال7بنات ماشاء الله تبارك الله URL …	libya
TRAIN_3256	خليها ف السلاح ونعملها سوا	egypt
TRAIN_20822	ربي يدوم صداقتكم يا ولاد الجزاير و تونس	algeria
TRAIN_1851	ودي اخذه بصوب و اخليه يفضفضلي باللي يحسه هالبروش	oman
TRAIN_19632	وهم كلشي ما يفهمون مجرد يريدون يتونسون بل دوام وهاي اغلبنا هيج	iraq
TRAIN_3647	جيبيلنا نص البروتوكول هيك منفهم انا و انت	lebanon
TRAIN_6416	يا ريت و الله	egypt
TRAIN_7109	نعملها بس ننزل	egypt
TRAIN_11389	يب مو حتي امس قلت لك	egypt
TRAIN_18452	موش نورمالمون زيدان متع لافريك	tunisia
TRAIN_15404	أشغلتهم . . هذا و أنا ما تكلفت وشلون أجل لو جبت حرفي من أقصاه واجب علي أشوف نفسي إذا شفت الفاشل اللي يقول للفاشل : االله	ksa
TRAIN_11559	مكاتب الترجمة بالبلد عم ترتكب حرائم بحق المترجمبن المستقلين إنك تترجم مشروع تخرج هندسي من 50 صفحة ترجمة غوغل - هات إيدك والحقني - لا تمت للغة ب صلة ، غير قابلة للفهم والنتيجة مشاريغع بتخجل ، والمقابل هو 15 الف فإنت هون قضيت ع تسعيرة كل مترجمين البلد وشغلن !	syria
TRAIN_7401	حدا حكى عليكي بشكل سيء أو حدا سببلك مشكلة بشغلك أو حتى أحيانا بكون حدا بخالفك بالرأي بموضوع معين	syria
TRAIN_18594	أعظم جملة سمعتها مؤخرا كانت Don't make yourself too available . لإنه مفيش أسوأ من إن الناس تستغلك عشان عارفين إنك دايما موجود .	egypt
TRAIN_12194	كسف مواطن هندي نوبا ذي	oman
TRAIN_17606	فديتش اجمعين يارب	oman
TRAIN_9741	يا أخي تألم ، . . خللي عندك شوي دم	libya
TRAIN_7553	البقاء لله . . هتوحشنا . . في ذمة الله وداعا #نور_الشريف – triste	tunisia
TRAIN_4232	يعني مش طالبه دراما	egypt
TRAIN_1755	وياك معهد بوظبي بكبرها	uae
TRAIN_11502	لا هدفك سامي انتي مبتكدبيش	egypt
TRAIN_18790	عادل الكلباني USER ما عنده خاب طاب URL …	oman
TRAIN_4332	م يايه عليج هالتايلند	oman
TRAIN_7936	بنزيما متعودين عليه عادي ، بس راموس مصيره يرجع زي اول مو مشكله	oman
TRAIN_20131	بحب اوي اتفرج علي حد وهو بيتكلم عن حاجة بيحبها او بيحگي عن شخص بيحبه او بيبص عليه ، بحب انا الناس ال يبقي باين الحب ف عينها	egypt
TRAIN_14821	USER مو هو لوكي ابن لوكي	iraq
TRAIN_6935	#كنزه_عالواب_مع_فرح كالعادة فالصدارة وبتغريد حقيقي URL	algeria
TRAIN_12488	يخرب بيت عيونك ي عليا شوو حلوين #احلى_صباح_عالراديو9090	egypt
TRAIN_16617	محمد الزواري الله يرحموا يسكن في زنقة و ليس في شارع رئيسي كما في الصورة ، هذه ليست في صفاقس	tunisia
TRAIN_10521	اي نوع من المساعده تبغي	ksa
TRAIN_8955	عايزة اركب عجل ودلوقتى	egypt
TRAIN_13527	سود الله وجهك انت مب كفو حتى ينشاف عليك	iraq
TRAIN_4754	يمكن الحب مايدوم زي الصداقه بس دائمافي شخص بحياتنا يجمع بين الحب والصداقه،شخص نحب نستمر معاه اكثرمن اي شخص ثاني حتى لوعلاقتنامالها اسم	uae
TRAIN_15294	بجد اعترف انك مميزة في التايم	libya
TRAIN_20580	مبروك علينا يازميلي	egypt
TRAIN_15829	الكسل هو الشي الوحيد اللي قاعده أشوفه يتطور في حياتي .	jordan
TRAIN_20624	' \ ' تشون شي شأنشر \ ' احد يعرفها ؟ بصصرخ كل م اذكر فهاوتي وقت صديقتي تقولها لي وانا اقولها ايش ذي اللغة واخليها تعيد عشان افهمها وعصبت علي تقولي مسوية م تعرفيها . انا اعرفها بس لأن م اتكلم مثلهم فما فهمتها بسرعة وبعد م فهمت جلست اضحك ع نفسي واقول لبنت معناها #TeamEXO'	egypt
TRAIN_4815	يابه وينهم واجبنا نحميكم 56	iraq
TRAIN_20533	USER ما أتوقع ليش	morocco
TRAIN_1006	USER اي اي ملاحظظ	sudan
TRAIN_14770	انا جداا دايسه معاكي موت دي من اكتر الحاجات اللي عايزه اجربها حتي لو هندم	egypt
TRAIN_2031	تراه صداقة الابتسامة واجد حلوه	oman
TRAIN_11879	الزريعة نتاع الكابوية ولا دوار الشمس تشيواوا	algeria
TRAIN_17982	انا عايزه اطلع رحله مليش دعوه	egypt
TRAIN_6046	ما اظنش في فيفا17 على كمبيوتر	libya
TRAIN_10169	' \ ' USER : اذا قعدت ادور على شي ما القاه تجي امي بقدرت القادر تلقاه سريع سريع \ ' '	ksa
TRAIN_9377	اي يجدع كل ده وجع	egypt
TRAIN_1891	عنا شغل كتير	syria
TRAIN_8849	مسا مسا يا شباب — اقوى مسا عل احلى ناس URL …	egypt
TRAIN_18990	احنا الطفل اللي جوانا بدأ يموت يا صاحبي	egypt
TRAIN_19043	بدينا بحركات مافيه متيريل يلا خذوا ثيوري	syria
TRAIN_19804	حياكي عم حاول اقنع البشر انو اسما اميركية مو حلبية بس عبثا !	syria
TRAIN_14582	' انا الجفا #بدر_بن_عبدالمحسن تصميم ملﮔ الغموض … : URL	oman
TRAIN_6206	انا اللي ادش البيت متأخر ومعاي بطل وسكران #يلا_نسوي_مسلسل_كويتي	ksa
TRAIN_16426	جنيدي انت بتعيط	egypt
TRAIN_845	مشكوك في امرك يعني لسة	egypt
TRAIN_2408	لما احاول اكون ايجابي URL	iraq
TRAIN_3637	سكوتي ي صآحبي مايعني إني رآضي لآ بالله الا تجمعت من كل حدب وكل صوب	ksa
TRAIN_8264	كل واحد ف حاله انا ف حاله انت ف حاله	egypt
TRAIN_14654	الحكم ليش ما يعطي كروت للاعبين الهلال ؟ ؟	ksa
TRAIN_17337	ينعاد عليكم بالخير يا رب و تمام الصحة و العافية . . ليكم وللاسرة الكريمة	algeria
TRAIN_1055	انا بحارب عشان متغيرش ! ! URL …	egypt
TRAIN_6026	جالسه اسوي نفسي وجعه عشان م اقطع لحم	ksa
TRAIN_5166	لاا ما امداني ادعيي ليشش كذا	iraq
TRAIN_1974	- لو تجمل وتجمع من الطيب وجيب اقصاك طيب مهوب مبداه والديك ، مافيه ابركه	ksa
TRAIN_13964	عنجد شو يلي عم يصير معك	iraq
TRAIN_9082	يعني اذا عزت الدوري تراجع عن حزب البعث وراد يرجع ماكو مشكلة	iraq
TRAIN_6778	أحلى صورة هي	syria
TRAIN_17035	اكتر صفه بكرها فالبني ادمين URL …	egypt
TRAIN_18777	سورى اندمجت شويه	egypt
TRAIN_12810	لا بالله فلعت عمري بحصاه URL …	oman
TRAIN_1530	شخلل جيوبك عشان نعدي	algeria
TRAIN_5780	No risk , no fun . . تريبل كابتن ل ابو صلاح ف اول جوله ولم فلوسك ي نعييم	tunisia
TRAIN_4498	#لبنان #حسان_دیاب #لبنان _ ينتفص هلأ هيدي ثورة المستقبل اوالثورة مستقبل	lebanon
TRAIN_19717	الناس فراوها و نتوما ابقاو تخرجو . .	algeria
TRAIN_16559	خايف نرقد نالقا الجيش خاش علي تونس	libya
TRAIN_2354	عبارة تحكي مع نهضاوي URL	tunisia
TRAIN_12607	مو حلو هالتينو	syria
TRAIN_11006	المرحلة الثانية من [ طفرة زيدان ] كانت شي ما له اسم لحد الآن و بتقدر تقول إنه عبارة عن [ ضغط لامركزي ] . .	syria
TRAIN_20309	الله يبارك فيك و تستأهل الطيب يالغالي	palestine
TRAIN_16159	نا الخوف عندى حاجه اساسيه ف كل حاجه . .	egypt
TRAIN_19182	والله يقلق هه تقول يحكي فوق قلبة	algeria
TRAIN_13821	لا تقنيه الفيديو مش هتنفع معانا	egypt
TRAIN_1757	يا خوي ما فيهم مروه ولا طيب تبعثروا باحلامهم وإتركونا يا خوي قالوا للموده مواجيب ولا عاد شفنا منهم إلا نسونا #بن_نايم	uae
TRAIN_9778	النهارده يوم الهبل العالمي عندنا في هندسه	egypt
TRAIN_13657	دايما رافعين راسنا والله . . خلاص ي عب جايين تقلو ادبكم هنا صاح ؟	yemen
TRAIN_11462	الله يعينك عليه هه	algeria
TRAIN_4411	' أهتمامي فيك من خوفي عليك خايف ( إني ) عقب مده أفقدك وأوعدك لا جيت أموت أموت فيك مو ( أكيد ) أكيد لكن أوعدك \ ' '	oman
TRAIN_8819	USER بعدك ما وصلت للإجابة . ابحث في القاموس العماني	oman
TRAIN_1315	حبيبي خليك . . و بيحلى السمر ، بنشرب م القمر . . و بنوره بيرويك . . بقطفلك النجوم ، بركبها ع تاج . . ب ابنيلنا ملاذ ورا الغيوم . .	egypt
TRAIN_17981	بلهجة الكمزارية نسميه ( افتيله )	oman
TRAIN_11686	بةم زوانة لة دائيرةى كارةباوة URL	iraq
TRAIN_20499	USER اليوم اقرى تغريداتك وشفت هالصوره ربي يبارك فيها ويحفظها ولا يحرمكم من بعض	ksa
TRAIN_2307	كل صباح أربعاء أتمنى أتحول لشجره أو جدار ، أي شي ما يداوم .	oman
TRAIN_3675	مهو موضوع الاجازة الاخرت دى بقا اووفر اوى بصراحة	egypt
TRAIN_2008	أيآ نروح #نصل~ي <3 : ) O : )	algeria
TRAIN_8635	سعد احس فيك النوم نام نصيحه والله	kuwait
TRAIN_7882	بقيت أرضى إن أنا الغلطانة . . بس حلوا عني #سمراء ♡	palestine
TRAIN_1460	اي شلونكم — تمام URL …	iraq
TRAIN_11993	محدش فينا لاقي راحته .	egypt
TRAIN_198	شو نفع البكي ؟	egypt
TRAIN_12791	USER بالعافية واحشنا والله : )	ksa
TRAIN_19600	USER والمفروض على ادارة نادي #الرائد قبل يعملون على اين يعسكر الفريق يجهزون الاعبين نفسيا قبل كل شيء الاعبين لا يحضرون اكيد فيه شيء	ksa
TRAIN_10374	USER وفاء غائبة على تويتر أكثر من شهر ياك لباس عليها إن شاء الله خير	algeria
TRAIN_8496	USER أخي : موثوق هالكلام ؟	syria
TRAIN_6810	ما اتفقنا كذا	oman
TRAIN_7899	حتى انا والله	libya
TRAIN_12480	انا تراني ماني لي انا تراني كلي لك .	oman
TRAIN_10835	#ريال_مدريد_يوفنتوس غلطان يا معاند الريال فراشك ونام يلي سهران محرووق	bahrain
TRAIN_12410	ربنا يسعدك صباح الهنا	egypt
TRAIN_1660	#عبر_عن_حبك_لي_قطر اشقائنا وعيال عمنا مهما كان وصار	bahrain
